'value','code'
'Администратор','ADMINISTRATOR'
'Отдел кадров','HR'
'Внешние пользователи','OUTER'
'Архивариус','RECORDER'
'Канцелярия','OFFICE_MANAGER'
'Обращения граждан','REQUEST_MANAGER'
'Сотрудник','EMPLOYER'
'Замещение','FILLING'
